"","CC302","CC304","CC302a","CC305","CC306","CC308a","CC308b","CC308c","CC320","CC321","CC322_1","CC322_2","CC322_3","CC322_4","CC322_5","CC322_6","CC324","CC325","CC326","CC327","CC332A","CC332B","CC332C","CC332D","CC332E","CC332F","CC332G","CC332H","CC332I","CC332J"
"107765791",3,2,2,1,3,2,2,2,3,2,1,2,2,2,2,2,3,3,1,2,1,1,2,1,1,1,2,1,1,1
"117641390",3,2,2,1,1,2,5,5,1,1,1,2,2,1,2,2,2,3,1,4,2,1,2,2,2,1,2,2,1,1
"121595610",2,3,2,1,2,2,4,4,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2
"123008393",2,1,2,1,1,1,4,3,3,1,1,2,2,2,2,2,4,2,1,1,2,2,1,2,2,1,2,2,1,1
"123635854",4,5,4,1,1,4,4,2,3,2,2,1,1,1,1,1,4,5,1,4,2,2,2,2,2,2,2,1,2,1
"123663126",4,3,4,3,3,4,3,3,1,1,2,2,1,2,2,2,3,5,1,4,2,2,2,2,2,2,2,2,2,1
"123673775",2,2,1,1,2,1,4,4,1,1,2,1,2,1,2,2,4,1,1,2,2,2,1,2,2,1,2,1,1,1
"142296629",5,4,4,1,1,3,4,5,3,4,1,2,2,2,2,2,4,3,1,3,2,2,1,2,2,1,2,1,1,1
"152478839",4,3,4,3,3,3,3,3,1,2,1,1,2,1,2,2,4,3,2,3,2,2,1,2,2,1,1,1,2,1
"152888394",1,3,1,1,1,1,4,4,1,1,1,2,2,2,2,2,4,3,1,2,2,2,2,2,2,1,2,1,1,1
"153368476",4,4,4,3,3,4,3,3,1,2,2,2,2,1,1,2,4,3,1,4,2,2,1,2,2,1,1,2,2,1
"154019808",4,2,6,1,1,4,5,5,3,2,2,2,1,1,1,1,2,3,2,3,1,1,2,2,1,2,1,2,2,2
"154347537",4,3,3,2,2,4,4,4,1,4,2,1,1,2,1,2,3,2,2,4,1,1,1,2,1,1,1,1,2,2
"154612072",4,4,3,3,2,4,4,2,3,3,2,1,1,1,2,2,4,5,2,3,2,,1,1,2,1,,1,2,2
"154704931",4,2,3,2,2,4,4,2,1,2,1,1,1,1,2,2,4,4,1,4,2,1,1,2,2,2,1,1,2,1
"154935362",3,5,3,1,2,2,4,4,1,1,2,1,1,1,1,1,4,3,1,4,2,2,1,2,2,2,1,,2,1
"155099634",4,5,2,1,2,2,2,2,1,2,1,1,2,2,2,2,4,3,1,1,2,2,,,,,2,2,1,1
"155456989",3,2,2,1,1,3,4,5,1,1,1,1,2,1,2,2,4,3,1,2,2,2,1,2,2,2,2,1,1,1
"155660464",5,2,3,1,1,1,3,2,1,1,1,1,2,2,1,2,4,1,1,2,2,1,1,2,2,2,2,1,1,1
