alpha,bias,columns,completer,eval_method,mae,mse,n,optimality,pws,qnum,rank,sdae,sdse,selector,uuid,v_method
1.000,-0.004,CC16_302,ordlogit,kfoldcv,0.818,1.090,31239,A,0.000,0,4,0.649,1.274,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.005,CC16_330d,ordlogit,kfoldcv,0.446,0.222,32065,A,0.000,0,4,0.153,0.153,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,-0.003,CC16_331_1,ordlogit,kfoldcv,0.493,0.247,32300,A,0.000,0,4,0.061,0.061,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.001,CC16_331_2,ordlogit,kfoldcv,0.500,0.250,32300,A,0.000,0,4,0.007,0.007,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,-0.002,CC16_332c,ordlogit,kfoldcv,0.478,0.239,32258,A,0.000,0,4,0.104,0.104,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.002,CC16_351H,ordlogit,kfoldcv,0.435,0.217,32162,A,0.000,0,4,0.168,0.168,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.002,CC16_351I,ordlogit,kfoldcv,0.497,0.248,32253,A,0.000,0,4,0.036,0.036,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.001,CC16_351K,ordlogit,kfoldcv,0.421,0.210,32286,A,0.000,0,4,0.181,0.181,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,-0.003,CC16_302,ordlogit,kfoldcv,0.827,1.006,31239,A,0.000,1,4,0.567,1.287,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.014,CC16_330d,ordlogit,kfoldcv,0.406,0.208,32065,A,0.000,1,4,0.208,0.194,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,-0.006,CC16_331_1,ordlogit,kfoldcv,0.453,0.233,32300,A,0.000,1,4,0.167,0.165,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.006,CC16_331_2,ordlogit,kfoldcv,0.458,0.233,32300,A,0.000,1,4,0.151,0.151,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.022,CC16_332c,ordlogit,kfoldcv,0.408,0.201,32258,A,0.000,1,4,0.188,0.174,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.003,CC16_351H,ordlogit,kfoldcv,0.433,0.217,32162,A,0.000,1,4,0.171,0.170,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
1.000,0.030,CC16_351I,ordlogit,kfoldcv,0.388,0.215,32253,A,0.000,1,4,0.254,0.251,active,22173c80-6013-4617-b3aa-5be6d5d97d77,row-norm
